mlb_id,player_name_fg,team,season,ip,g,gs,era,fip,xfip,siera,xera,whip,k_pct,bb_pct,k_minus_bb_pct,swstr_pct,csw_pct,c_plus_swstr_pct,hr_fb,gb_pct,lob_pct,barrel_pct,hard_hit_pct,avg_ev,stuff_plus,location_plus,pitching_plus,pb_stuff,pb_command,pb_xrv100
642547,Freddy Peralta,MIL,2024,173.2,32.0,32.0,3.6794627875015222,4.156882907319939,3.9344894073369785,3.7793950804725265,3.828010143126509,1.214971280380002,27.59,9.38,0.18206897,13.13,,27.04,0.131313131,36.65,79.63,8.72,36.91,87.56984304138322,98.87897217675936,101.8670180032733,100.30981342062192,53.56402664169382,47.276795055374585,0.19877712052117263
641793,Zack Littell,TBR,2024,156.1,29.0,29.0,3.626865789640896,3.8828977120460215,4.007155912614211,3.99015773294394,4.382025429832069,1.247334795379144,21.49,4.73,0.16768293,11.09,,26.77,0.108910891,34.03,78.01,9.6,39.04,89.25810855263158,89.42169559951556,109.65838514331855,100.08779975777149,41.48992374598071,59.37940504421222,-0.06619281350482313
664854,Ryan Helsley,STL,2024,66.1,65.0,0.0,2.0351760354488535,2.412710876271701,3.351975720405567,3.0790250983214267,2.7306181467802455,1.100502596946417,29.7,8.65,0.21052632,17.33,,33.58,0.044776119,36.81,78.49,3.66,35.37,89.44478527607362,129.10971982758616,95.03034482758618,121.19028017241378,72.11397861020629,57.15106888165039,-1.0361194136807819
661403,Emmanuel Clase,CLE,2024,74.1,74.0,0.0,0.605381145207661,2.2247757746334336,2.810682301936149,2.6356106529051515,2.4544813801537,0.6591928025594531,24.44,3.7,0.20740741,13.62,,28.66,0.04347826,57.37,85.06,3.65,29.69,86.50947779605264,127.97877016129034,101.45633064516127,128.20959677419353,68.29077097560975,51.33564866869916,-1.1112393089430894
693433,Bryan Woo,SEA,2024,121.1,22.0,22.0,2.8928572641249968,3.397249018732815,3.75402858748336,3.747182009834144,2.765136899293134,0.8983516860103266,21.4,2.75,0.18644068,11.42,,29.18,0.093959731,40.62,76.84,4.79,35.21,88.75327746616809,107.00321074138935,109.88493870402799,113.28187974314068,52.400051520093186,67.41956456610367,-0.7836404368083867
669854,Ronel Blanco,HOU,2024,167.1,30.0,29.0,2.7968128340158906,4.146559489355193,4.090967087298483,4.172175201866093,3.972281998470077,1.087649435450624,24.56,10.06,0.14497042,12.93,,28.19,0.120218579,39.82,83.55,9.32,35.45,88.71513583682,90.20288231759817,102.62655648786736,96.49372834182576,45.73741633490738,46.98415864148201,0.3145064802034144
571760,Andrew Heaney,TEX,2024,160.0,32.0,31.0,4.27500028029086,4.04147983565927,4.176140982732315,3.952878047278601,4.435666857232042,1.250000081956392,22.94,5.92,0.17027417,11.99,,27.2,0.108490566,33.54,71.19,8.32,40.12,89.6293282166815,99.37988167720088,102.59974801871239,100.4641346958154,52.08776542621347,58.37879242495963,-0.2739271948262488
656605,Mitch Keller,PIT,2024,178.0,31.0,31.0,4.247191011235955,4.076592137840357,4.078713848132097,4.082250024311433,4.246122886959055,1.303370786516854,21.47,6.47,0.15006468,9.26,,27.95,0.116161616,39.41,73.09,7.2,39.11,88.8278781366171,100.34843178621662,97.3538677918425,97.06158227848104,46.875134105890616,55.9452442952314,-0.12166546633941094
669194,Ryne Nelson,ARI,2024,150.2,28.0,25.0,4.241150728826656,3.7372762770051198,3.9764893178753735,4.0840710201235355,4.093454183260994,1.2544248634557715,20.0,5.4,0.14603175,8.35,,24.35,0.1,41.59,71.09,7.53,41.51,90.13836196373249,102.17930242061927,102.57530443110412,102.85943526808543,49.224589260490234,62.5359161279601,-0.2570579767345244
694813,Gavin Stone,LAD,2024,140.1,25.0,25.0,3.527316042333899,4.014460806648854,4.017035412189123,4.197514068026134,3.9700223483309256,1.2114014690843693,20.0,6.38,0.1362069,11.61,,26.47,0.116129032,44.21,79.7,6.35,36.24,88.18928571428572,99.1522854477612,102.69750000000006,103.93541977611943,49.67818504876915,56.99818448676265,-0.021594714352066852
